,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,29,1990,19.7,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0,Matches
2,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,22,1997,11.6,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0,Matches
3,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,24,1996,29.6,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0,Matches
4,Tosin Adarabioyo\c81d773d,eng ENG,DF,Fulham,22,1997,32.8,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
5,Adrián\f76e6b4e,es ESP,GK,Liverpool,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Sergio Agüero\4d034881,ar ARG,FWMF,Manchester City,32,1988,6.2,16,2.58,13,0,2,0,0,1,3,0.48,2,0,1,0,0,0,Matches
7,Ola Aina\246d153b,ng NGA,DF,Fulham,23,1996,29.6,26,0.88,22,2,0,0,1,1,4,0.14,4,0,0,0,0,0,Matches
8,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,19,2001,15.6,30,1.92,19,3,7,0,1,0,2,0.13,1,0,1,0,0,0,Matches
9,Semi Ajayi\d6192210,ng NGA,DF,West Brom,26,1993,30.9,14,0.45,11,0,2,1,0,0,3,0.10,2,0,0,1,0,0,Matches
10,Nathan Aké\eaeca114,nl NED,DF,Manchester City,25,1995,8.9,3,0.34,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
11,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,30,1989,19.4,71,3.66,53,5,4,1,2,6,11,0.57,7,2,0,1,0,1,Matches
12,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,29,1991,20.6,61,2.96,51,2,3,2,1,2,2,0.10,2,0,0,0,0,0,Matches
13,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,31,1989,24.9,19,0.76,16,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Matches
14,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Arsenal,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,21,1998,33.7,123,3.65,78,32,7,6,0,0,13,0.39,10,2,0,1,0,0,Matches
16,Ezgjan Alioski\1a7fcf39,mk MKD,DF,Leeds United,28,1992,27.3,57,2.08,49,3,0,3,2,0,6,0.22,4,1,0,1,0,0,Matches
17,Alisson\7a2e46a8,br BRA,GK,Liverpool,27,1992,33.0,5,0.15,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Allan\cc700722,br BRA,MF,Everton,29,1991,22.8,38,1.67,32,0,4,1,1,0,2,0.09,2,0,0,0,0,0,Matches
19,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,24,1996,6.9,22,3.19,18,0,0,1,2,1,3,0.44,2,0,0,1,0,0,Matches
20,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,26,1994,27.0,63,2.33,47,1,6,3,4,2,4,0.15,3,0,0,1,0,0,Matches
21,Marcos Alonso\f4290206,es ESP,DF,Chelsea,29,1990,10.7,33,3.09,24,2,0,5,1,1,2,0.19,1,0,0,1,0,0,Matches
22,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,21,1998,10.0,25,2.51,20,1,1,3,0,0,1,0.10,1,0,0,0,0,0,Matches
23,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Ethan Ampadu\10b9fa99,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,15,0.65,13,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
25,Joachim Andersen\e34fc66d,dk DEN,DF,Fulham,24,1996,30.3,26,0.86,24,0,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
26,Elliot Anderson\de31038e,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Felipe Anderson\9f1893b9,br BRA,FWMF,West Ham,27,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Michail Antonio\ac05f970,jm JAM,FW,West Ham,30,1990,21.9,65,2.96,34,1,8,7,15,0,11,0.50,5,1,0,2,3,0,Matches
29,Alphonse Areola\2f965a72,fr FRA,GK,Fulham,27,1993,36.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,28,1992,30.7,82,2.67,58,3,6,5,6,4,15,0.49,7,0,2,3,2,1,Matches
31,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,25,1994,6.5,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,31,1989,25.9,45,1.74,36,0,4,2,3,0,7,0.27,6,0,1,0,0,0,Matches
33,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,27,1992,17.8,34,1.91,23,0,4,3,1,3,4,0.22,3,0,1,0,0,0,Matches
34,Charlie Austin\8d228291,eng ENG,FW,West Brom,31,1989,1.5,1,0.65,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,28,1991,23.3,33,1.42,23,0,2,2,5,1,7,0.30,5,0,0,1,1,0,Matches
36,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,28,1991,37.8,49,1.30,38,2,3,2,3,1,4,0.11,4,0,0,0,0,0,Matches
37,César Azpilicueta\53cad200,es ESP,DF,Chelsea,30,1989,24.3,42,1.73,40,1,0,0,0,1,4,0.16,4,0,0,0,0,0,Matches
38,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,26,1994,10.2,3,0.29,3,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
39,Fabián Balbuena\3626f7d9,py PAR,DF,West Ham,28,1991,13.3,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,George Baldock\394854c4,eng ENG,DF,Sheffield Utd,27,1993,31.0,32,1.03,27,0,1,3,0,1,2,0.06,1,0,0,1,0,0,Matches
41,Gareth Bale\a58bb1e1,wls WAL,FW,Tottenham,31,1989,10.2,45,4.40,24,7,8,3,2,1,5,0.49,2,1,0,2,0,0,Matches
42,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,26,1993,33.9,60,1.77,41,0,5,6,6,2,17,0.50,9,0,2,2,4,0,Matches
43,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,35,1985,3.0,3,0.99,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
44,Ross Barkley\3a24769f,eng ENG,MF,Aston Villa,26,1993,17.0,75,4.41,43,20,9,1,2,0,5,0.29,3,1,0,0,1,0,Matches
45,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,26,1993,0.5,3,6.43,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Ashley Barnes\2691c772,eng ENG,FW,Burnley,30,1989,14.8,36,2.43,25,0,0,5,4,2,2,0.14,0,0,0,1,1,0,Matches
47,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,22,1997,21.6,68,3.15,44,0,8,7,8,1,8,0.37,5,0,2,0,1,0,Matches
48,Kyle Bartley\18e96f64,eng ENG,DF,West Brom,29,1991,28.7,9,0.31,7,0,0,2,0,0,1,0.03,1,0,0,0,0,0,Matches
49,Chris Basham\1aa84968,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,22,0.77,18,0,2,0,2,0,1,0.03,1,0,0,0,0,0,Matches
50,Michy Batshuayi\2973d8ff,be BEL,FW,Crystal Palace,26,1993,8.1,20,2.47,13,1,4,0,2,0,2,0.25,1,0,0,0,1,0,Matches
51,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,24,1996,34.4,14,0.41,12,1,0,1,0,0,2,0.06,2,0,0,0,0,0,Matches
52,Donny van de Beek\50dc94ce,nl NED,MFFW,Manchester Utd,23,1997,5.8,12,2.06,10,0,1,0,1,0,2,0.34,1,0,0,0,1,0,Matches
53,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,25,1995,23.2,41,1.77,37,1,0,2,1,0,7,0.30,6,0,0,0,1,0,Matches
54,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,24,1995,15.5,55,3.56,49,0,3,1,1,1,9,0.58,9,0,0,0,0,0,Matches
55,Josh Benson\bf3aeb61,eng ENG,MF,Burnley,20,1999,2.9,1,0.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,29,1990,20.2,38,1.88,29,0,3,2,2,2,5,0.25,2,0,1,0,1,1,Matches
57,Gaetano Berardi\5348aada,ch SUI,DF,Leeds United,31,1988,1.3,1,0.80,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,29,1990,15.1,27,1.78,22,1,0,1,2,1,0,0.00,0,0,0,0,0,0,Matches
59,Sander Berge\d0b6129f,no NOR,MF,Sheffield Utd,22,1998,12.4,24,1.93,20,0,2,1,0,1,1,0.08,0,0,0,1,0,0,Matches
60,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,22,1997,13.4,33,2.46,24,1,0,2,5,1,6,0.45,3,0,0,1,1,1,Matches
61,Bernard\ab4b3e35,br BRA,MFFW,Everton,27,1992,5.1,17,3.36,15,0,1,0,1,0,1,0.20,1,0,0,0,0,0,Matches
62,Bernardo\17370b95,br BRA,DFMF,Brighton,25,1995,2.3,4,1.75,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Ryan Bertrand\01226327,eng ENG,DF,Southampton,30,1989,28.9,33,1.14,21,10,0,0,1,1,3,0.10,2,0,0,0,0,1,Matches
64,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,23,1996,34.6,52,1.50,42,0,1,2,3,4,2,0.06,2,0,0,0,0,0,Matches
65,Jayden Bogle\ae5019e6,eng ENG,DF,Sheffield Utd,20,2000,12.3,11,0.89,6,1,3,0,1,0,1,0.08,0,0,1,0,0,0,Matches
66,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,29,1991,20.9,11,0.53,9,0,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
67,Jarrod Bowen\79c84d1c,eng ENG,FWMF,West Ham,23,1996,28.5,78,2.74,44,11,4,10,8,1,11,0.39,6,3,0,2,0,0,Matches
68,Robbie Brady\96bb8cc2,ie IRL,MF,Burnley,28,1992,11.7,17,1.45,12,2,0,2,0,1,1,0.09,0,1,0,0,0,0,Matches
69,Rhian Brewster\30e81a88,eng ENG,FW,Sheffield Utd,20,2000,12.5,22,1.76,16,0,0,4,2,0,0,0.00,0,0,0,0,0,0,Matches
70,Nathan Broadhead\43309491,wls WAL,MF,Everton,22,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Josh Brownhill\47369df8,eng ENG,MF,Burnley,24,1995,31.3,46,1.47,34,0,2,2,6,2,1,0.03,1,0,0,0,0,0,Matches
72,Joe Bryan\af69e7f0,eng ENG,DFFW,Fulham,26,1993,7.4,19,2.56,11,3,2,2,1,0,1,0.13,0,0,0,0,1,0,Matches
73,Kean Bryan\c684d3c9,eng ENG,DF,Sheffield Utd,23,1996,11.2,5,0.45,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Oliver Burke\f631c17f,sct SCO,FW,Sheffield Utd,23,1997,14.1,28,1.99,18,0,6,2,0,2,1,0.07,1,0,0,0,0,0,Matches
75,Dan Burn\b2d31e83,eng ENG,DF,Brighton,28,1992,22.9,20,0.87,19,0,0,1,0,0,1,0.04,0,0,0,1,0,0,Matches
76,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,David Button\e608ed4c,eng ENG,GK,West Brom,31,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Oskar Buur\aa6f2f2c,dk DEN,DF,Wolves,22,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Willy Caballero\a179d516,ar ARG,GK,Chelsea,38,1981,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Gary Cahill\7914b9fe,eng ENG,DF,Crystal Palace,34,1985,20.0,12,0.60,12,0,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
81,Tom Cairney\a8748947,sct SCO,MF,Fulham,29,1991,8.4,35,4.15,21,8,3,1,2,0,2,0.24,2,0,0,0,0,0,Matches
82,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,23,1997,31.9,50,1.57,31,0,2,6,9,2,9,0.28,2,0,0,5,2,0,Matches
83,João Cancelo\bd6351cd,pt POR,DF,Manchester City,26,1994,25.5,71,2.78,57,5,7,1,1,0,10,0.39,7,1,0,1,1,0,Matches
84,Ian Carlo Poveda\55b4f1d6,eng ENG,MFDF,Leeds United,20,2000,3.9,9,2.28,6,0,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Andy Carroll\b581987a,eng ENG,FW,Newcastle Utd,31,1989,4.4,9,2.07,5,0,1,1,1,1,1,0.23,1,0,0,0,0,0,Matches
86,Scott Carson\3e1550ee,eng ENG,GK,Manchester City,34,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Fabio Carvalho\966e28d0,eng ENG,MFFW,Fulham,17,2002,2.8,5,1.76,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
88,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,22,1997,26.4,33,1.25,25,4,2,0,1,1,2,0.08,2,0,0,0,0,0,Matches
89,Kiko Casilla\58bc7d18,es ESP,GK,Leeds United,33,1986,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Timothy Castagne\197640fd,be BEL,DF,Leicester City,24,1995,26.1,41,1.57,37,2,0,0,0,2,3,0.12,3,0,0,0,0,0,Matches
91,Jonny Castro\e28868f3,es ESP,DF,Wolves,26,1994,5.5,6,1.09,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Ivan Cavaleiro\979b811d,pt POR,FWMF,Fulham,26,1993,27.5,72,2.62,48,14,3,3,2,2,1,0.04,1,0,0,0,0,0,Matches
93,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,33,1987,15.3,34,2.23,24,0,2,4,2,2,4,0.26,3,0,0,1,0,0,Matches
94,Dani Ceballos\c0617e2b,es ESP,MF,Arsenal,23,1996,17.9,55,3.07,48,3,1,1,1,1,5,0.28,4,0,0,1,0,0,Matches
95,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,25,1995,8.4,16,1.91,15,0,0,1,0,0,2,0.24,2,0,0,0,0,0,Matches
96,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,23,1996,25.4,57,2.24,36,12,1,3,4,1,9,0.35,8,0,0,0,1,0,Matches
97,Hamza Choudhury\7d2d3329,eng ENG,MF,Leicester City,22,1997,3.5,3,0.85,2,0,0,1,0,0,1,0.28,1,0,0,0,0,0,Matches
98,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,24,1996,15.2,9,0.59,9,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
99,Carney Chukwuemeka\b2f9c73e,eng ENG,FWMF,Aston Villa,16,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,30,1989,21.0,6,0.29,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,29,1991,12.7,7,0.55,5,1,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
102,Conor Coady\2928dca2,eng ENG,DF,Wolves,27,1993,36.7,9,0.25,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
103,Séamus Coleman\0420d84f,ie IRL,DFMF,Everton,31,1988,17.9,33,1.84,24,1,4,1,3,0,5,0.28,4,0,0,0,1,0,Matches
104,Aaron Connolly\27c01749,ie IRL,FW,Brighton,20,2000,8.8,12,1.37,7,0,3,0,2,0,1,0.11,1,0,0,0,0,0,Matches
105,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,28,1991,24.3,14,0.58,9,0,0,3,0,2,2,0.08,2,0,0,0,0,0,Matches
106,Theo Corbeanu\25b82f9a,ca CAN,FW,Wolves,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Jack Cork\74e12f1e,eng ENG,MF,Burnley,31,1989,15.0,18,1.20,16,0,0,1,1,0,1,0.07,1,0,0,0,0,0,Matches
108,Hélder Costa\f13d02a6,ao ANG,MFFW,Leeds United,26,1994,12.8,21,1.63,15,0,2,1,3,0,6,0.47,5,0,0,0,1,0,Matches
109,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,27,1992,33.9,71,2.09,54,11,1,2,2,1,7,0.21,7,0,0,0,0,0,Matches
110,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,30,1989,35.2,96,2.73,48,41,1,4,2,0,14,0.40,5,6,0,2,1,0,Matches
111,Patrick Cutrone\a4fe8cda,it ITA,FW,Wolves,22,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,29,1991,37.9,74,1.95,63,2,4,3,0,2,6,0.16,6,0,0,0,0,0,Matches
113,Scott Dann\52105203,eng ENG,DF,Crystal Palace,33,1987,15.0,5,0.33,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
114,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,29,1990,25.0,3,0.12,1,2,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
115,Ben Davies\44781702,wls WAL,DF,Tottenham,27,1993,15.0,17,1.14,12,0,1,0,2,2,4,0.27,2,0,1,0,1,0,Matches
116,Tom Davies\9228b07c,eng ENG,MF,Everton,22,1998,15.8,21,1.33,20,0,1,0,0,0,2,0.13,2,0,0,0,0,0,Matches
117,Keinan Davis\9deaf2c8,eng ENG,FWMF,Aston Villa,22,1998,3.1,15,4.87,8,0,3,2,1,1,2,0.65,1,0,0,0,0,1,Matches
118,Leif Davis\8574c61f,eng ENG,DF,Leeds United,20,2000,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,30,1990,21.4,8,0.37,5,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
120,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,29,1991,22.2,142,6.40,95,24,7,4,5,7,19,0.86,15,0,2,0,1,1,Matches
121,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,17,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Fabian Delph\111c3236,eng ENG,MFDF,Everton,30,1989,3.0,3,1.02,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Leander Dendoncker\5a7301ae,be BEL,MFDF,Wolves,25,1995,27.8,43,1.55,36,1,1,3,1,1,6,0.22,4,0,0,2,0,0,Matches
124,Mbaye Diagne\dda3969e,sn SEN,FW,West Brom,28,1991,13.2,28,2.12,20,1,1,1,2,3,7,0.53,4,0,0,1,0,2,Matches
125,Amad Diallo\9dc96f10,ci CIV,FW,Manchester Utd,18,2002,1.8,2,1.08,2,0,0,0,0,0,1,0.54,1,0,0,0,0,0,Matches
126,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,21,1999,11.3,18,1.59,15,0,0,1,1,1,1,0.09,1,0,0,0,0,0,Matches
127,Grady Diangana\f522d7ec,eng ENG,MFFW,West Brom,22,1998,13.7,20,1.46,12,1,1,3,2,1,1,0.07,1,0,0,0,0,0,Matches
128,Raphael Dias Belloli\3423f250,br BRA,MF,Leeds United,23,1996,26.2,109,4.16,62,26,10,4,3,4,14,0.53,8,3,1,2,0,0,Matches
129,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,23,1997,31.6,21,0.66,19,0,0,1,1,0,2,0.06,1,0,0,1,0,0,Matches
130,Eric Dier\ac861941,eng ENG,DF,Tottenham,26,1994,28.0,16,0.57,14,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
131,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,27,1993,29.8,70,2.35,49,17,0,2,2,0,11,0.37,6,3,0,2,0,0,Matches
